,city,date,review_count
161,Rotterdam,2023-02-23,272
162,Amsterdam,2023-02-24,438
163,Groningen,2023-02-24,129
164,Rotterdam,2023-02-24,364
165,Amsterdam,2023-02-25,401
166,Groningen,2023-02-25,141
167,Rotterdam,2023-02-25,391
168,Amsterdam,2023-02-26,464
169,Groningen,2023-02-26,159
170,Rotterdam,2023-02-26,354
171,Amsterdam,2023-02-27,372
172,Groningen,2023-02-27,89
173,Rotterdam,2023-02-27,245
174,Amsterdam,2023-02-28,316
175,Groningen,2023-02-28,90
176,Rotterdam,2023-02-28,227
177,Amsterdam,2023-03-01,345
178,Groningen,2023-03-01,80
179,Rotterdam,2023-03-01,243
180,Amsterdam,2023-03-02,373
181,Groningen,2023-03-02,95
182,Rotterdam,2023-03-02,260
183,Amsterdam,2023-03-03,405
184,Groningen,2023-03-03,103
185,Rotterdam,2023-03-03,311
186,Amsterdam,2023-03-04,413
187,Groningen,2023-03-04,113
188,Rotterdam,2023-03-04,324
189,Amsterdam,2023-03-05,442
190,Groningen,2023-03-05,136
191,Rotterdam,2023-03-05,350
192,Amsterdam,2023-03-06,344
193,Groningen,2023-03-06,98
194,Rotterdam,2023-03-06,243
195,Amsterdam,2023-03-07,295
196,Groningen,2023-03-07,78
197,Rotterdam,2023-03-07,230
198,Amsterdam,2023-03-08,344
199,Groningen,2023-03-08,77
200,Rotterdam,2023-03-08,223
201,Amsterdam,2023-03-09,438
202,Groningen,2023-03-09,105
203,Rotterdam,2023-03-09,270
204,Amsterdam,2023-03-10,483
205,Groningen,2023-03-10,140
206,Rotterdam,2023-03-10,345
207,Amsterdam,2023-03-11,442
208,Groningen,2023-03-11,134
209,Rotterdam,2023-03-11,313
210,Amsterdam,2023-03-12,490
211,Groningen,2023-03-12,143
212,Rotterdam,2023-03-12,353
213,Amsterdam,2023-03-13,378
214,Groningen,2023-03-13,101
215,Rotterdam,2023-03-13,233
216,Amsterdam,2023-03-14,314
217,Groningen,2023-03-14,90
218,Rotterdam,2023-03-14,198
219,Amsterdam,2023-03-15,332
220,Groningen,2023-03-15,83
221,Rotterdam,2023-03-15,204
222,Amsterdam,2023-03-16,328
223,Groningen,2023-03-16,110
224,Rotterdam,2023-03-16,227
225,Amsterdam,2023-03-17,354
226,Groningen,2023-03-17,112
227,Rotterdam,2023-03-17,225
228,Amsterdam,2023-03-18,389
229,Groningen,2023-03-18,118
230,Rotterdam,2023-03-18,257
231,Amsterdam,2023-03-19,437
232,Groningen,2023-03-19,153
233,Rotterdam,2023-03-19,332
234,Amsterdam,2023-03-20,411
235,Groningen,2023-03-20,94
236,Rotterdam,2023-03-20,231
237,Amsterdam,2023-03-21,345
238,Groningen,2023-03-21,88
239,Rotterdam,2023-03-21,207
240,Amsterdam,2023-03-22,351
241,Groningen,2023-03-22,84
242,Rotterdam,2023-03-22,257
243,Amsterdam,2023-03-23,377
244,Groningen,2023-03-23,90
245,Rotterdam,2023-03-23,220
246,Amsterdam,2023-03-24,379
247,Groningen,2023-03-24,124
248,Rotterdam,2023-03-24,287
249,Amsterdam,2023-03-25,432
250,Groningen,2023-03-25,140
251,Rotterdam,2023-03-25,321
252,Amsterdam,2023-03-26,424
253,Groningen,2023-03-26,170
254,Rotterdam,2023-03-26,364
255,Amsterdam,2023-03-27,320
256,Groningen,2023-03-27,93
257,Rotterdam,2023-03-27,202
258,Amsterdam,2023-03-28,308
259,Groningen,2023-03-28,87
260,Rotterdam,2023-03-28,201
261,Amsterdam,2023-03-29,330
262,Groningen,2023-03-29,86
263,Rotterdam,2023-03-29,226
264,Amsterdam,2023-03-30,335
265,Groningen,2023-03-30,97
266,Rotterdam,2023-03-30,173
267,Amsterdam,2023-03-31,424
268,Groningen,2023-03-31,117
269,Rotterdam,2023-03-31,303
270,Amsterdam,2023-04-01,409
271,Groningen,2023-04-01,135
272,Rotterdam,2023-04-01,319
273,Amsterdam,2023-04-02,391
274,Groningen,2023-04-02,118
275,Rotterdam,2023-04-02,286
276,Amsterdam,2023-04-03,303
277,Groningen,2023-04-03,76
278,Rotterdam,2023-04-03,200
279,Amsterdam,2023-04-04,294
280,Groningen,2023-04-04,70
281,Rotterdam,2023-04-04,194
282,Amsterdam,2023-04-05,293
283,Groningen,2023-04-05,65
284,Rotterdam,2023-04-05,209
285,Amsterdam,2023-04-06,335
286,Groningen,2023-04-06,87
287,Rotterdam,2023-04-06,261
288,Amsterdam,2023-04-07,325
289,Groningen,2023-04-07,93
290,Rotterdam,2023-04-07,263
291,Amsterdam,2023-04-08,319
292,Groningen,2023-04-08,91
293,Rotterdam,2023-04-08,234
294,Amsterdam,2023-04-09,315
295,Groningen,2023-04-09,103
296,Rotterdam,2023-04-09,244
297,Amsterdam,2023-04-10,397
298,Groningen,2023-04-10,137
299,Rotterdam,2023-04-10,290
300,Amsterdam,2023-04-11,295
301,Groningen,2023-04-11,74
302,Rotterdam,2023-04-11,180
303,Amsterdam,2023-04-12,316
304,Groningen,2023-04-12,64
305,Rotterdam,2023-04-12,170
306,Amsterdam,2023-04-13,303
307,Groningen,2023-04-13,77
308,Rotterdam,2023-04-13,172
309,Amsterdam,2023-04-14,361
310,Groningen,2023-04-14,80
311,Rotterdam,2023-04-14,255
312,Amsterdam,2023-04-15,357
313,Groningen,2023-04-15,114
314,Rotterdam,2023-04-15,234
315,Amsterdam,2023-04-16,361
316,Groningen,2023-04-16,122
317,Rotterdam,2023-04-16,288
318,Amsterdam,2023-04-17,308
319,Groningen,2023-04-17,71
320,Rotterdam,2023-04-17,178
321,Amsterdam,2023-04-18,262
322,Groningen,2023-04-18,72
323,Rotterdam,2023-04-18,180
324,Amsterdam,2023-04-19,313
325,Groningen,2023-04-19,73
326,Rotterdam,2023-04-19,192
327,Amsterdam,2023-04-20,318
328,Groningen,2023-04-20,103
329,Rotterdam,2023-04-20,252
330,Amsterdam,2023-04-21,381
331,Groningen,2023-04-21,103
332,Rotterdam,2023-04-21,282
333,Amsterdam,2023-04-22,436
334,Groningen,2023-04-22,126
335,Rotterdam,2023-04-22,332
336,Amsterdam,2023-04-23,443
337,Groningen,2023-04-23,131
338,Rotterdam,2023-04-23,416
339,Amsterdam,2023-04-24,418
340,Groningen,2023-04-24,97
341,Rotterdam,2023-04-24,253
342,Amsterdam,2023-04-25,341
343,Groningen,2023-04-25,71
344,Rotterdam,2023-04-25,245
345,Amsterdam,2023-04-26,334
346,Groningen,2023-04-26,94
347,Rotterdam,2023-04-26,248
348,Amsterdam,2023-04-27,312
349,Groningen,2023-04-27,117
350,Rotterdam,2023-04-27,292
351,Amsterdam,2023-04-28,506
352,Groningen,2023-04-28,170
353,Rotterdam,2023-04-28,286
354,Amsterdam,2023-04-29,370
355,Groningen,2023-04-29,125
356,Rotterdam,2023-04-29,259
357,Amsterdam,2023-04-30,411
358,Groningen,2023-04-30,150
359,Rotterdam,2023-04-30,298
360,Amsterdam,2023-05-01,317
361,Groningen,2023-05-01,103
362,Rotterdam,2023-05-01,222
363,Amsterdam,2023-05-02,304
364,Groningen,2023-05-02,92
365,Rotterdam,2023-05-02,202
366,Amsterdam,2023-05-03,305
367,Groningen,2023-05-03,80
368,Rotterdam,2023-05-03,220
369,Amsterdam,2023-05-04,365
370,Groningen,2023-05-04,90
371,Rotterdam,2023-05-04,251
372,Amsterdam,2023-05-05,402
373,Groningen,2023-05-05,126
374,Rotterdam,2023-05-05,289
375,Amsterdam,2023-05-06,385
376,Groningen,2023-05-06,124
377,Rotterdam,2023-05-06,297
378,Amsterdam,2023-05-07,458
379,Groningen,2023-05-07,116
380,Rotterdam,2023-05-07,331
381,Amsterdam,2023-05-08,320
382,Groningen,2023-05-08,87
383,Rotterdam,2023-05-08,209
384,Amsterdam,2023-05-09,360
385,Groningen,2023-05-09,67
386,Rotterdam,2023-05-09,193
387,Amsterdam,2023-05-10,314
388,Groningen,2023-05-10,78
389,Rotterdam,2023-05-10,204
390,Amsterdam,2023-05-11,296
391,Groningen,2023-05-11,88
392,Rotterdam,2023-05-11,233
393,Amsterdam,2023-05-12,352
394,Groningen,2023-05-12,106
395,Rotterdam,2023-05-12,240
396,Amsterdam,2023-05-13,317
397,Groningen,2023-05-13,95
398,Rotterdam,2023-05-13,262
399,Amsterdam,2023-05-14,356
400,Groningen,2023-05-14,137
401,Rotterdam,2023-05-14,286
402,Amsterdam,2023-05-15,324
403,Groningen,2023-05-15,86
404,Rotterdam,2023-05-15,261
405,Amsterdam,2023-05-16,288
406,Groningen,2023-05-16,75
407,Rotterdam,2023-05-16,198
408,Amsterdam,2023-05-17,311
409,Groningen,2023-05-17,102
410,Rotterdam,2023-05-17,217
411,Amsterdam,2023-05-18,342
412,Groningen,2023-05-18,101
413,Rotterdam,2023-05-18,244
414,Amsterdam,2023-05-19,330
415,Groningen,2023-05-19,113
416,Rotterdam,2023-05-19,275
417,Amsterdam,2023-05-20,299
418,Groningen,2023-05-20,93
419,Rotterdam,2023-05-20,249
420,Amsterdam,2023-05-21,359
421,Groningen,2023-05-21,136
422,Rotterdam,2023-05-21,283
423,Amsterdam,2023-05-22,299
424,Groningen,2023-05-22,81
425,Rotterdam,2023-05-22,247
426,Amsterdam,2023-05-23,348
427,Groningen,2023-05-23,99
428,Rotterdam,2023-05-23,238
429,Amsterdam,2023-05-24,348
430,Groningen,2023-05-24,122
431,Rotterdam,2023-05-24,250
432,Amsterdam,2023-05-25,338
433,Groningen,2023-05-25,98
434,Rotterdam,2023-05-25,283
435,Amsterdam,2023-05-26,401
436,Groningen,2023-05-26,125
437,Rotterdam,2023-05-26,351
438,Amsterdam,2023-05-27,378
439,Groningen,2023-05-27,107
440,Rotterdam,2023-05-27,313
441,Amsterdam,2023-05-28,373
442,Groningen,2023-05-28,141
443,Rotterdam,2023-05-28,336
444,Amsterdam,2023-05-29,403
445,Groningen,2023-05-29,129
446,Rotterdam,2023-05-29,359
447,Amsterdam,2023-05-30,314
448,Groningen,2023-05-30,89
449,Rotterdam,2023-05-30,282
450,Amsterdam,2023-05-31,285
451,Groningen,2023-05-31,93
452,Rotterdam,2023-05-31,243
453,Amsterdam,2023-06-01,342
454,Groningen,2023-06-01,106
455,Rotterdam,2023-06-01,219
456,Amsterdam,2023-06-02,322
457,Groningen,2023-06-02,91
458,Rotterdam,2023-06-02,292
459,Amsterdam,2023-06-03,358
460,Groningen,2023-06-03,97
461,Rotterdam,2023-06-03,272
462,Amsterdam,2023-06-04,397
463,Groningen,2023-06-04,118
464,Rotterdam,2023-06-04,326
465,Amsterdam,2023-06-05,339
466,Groningen,2023-06-05,96
467,Rotterdam,2023-06-05,222
468,Amsterdam,2023-06-06,319
469,Groningen,2023-06-06,75
470,Rotterdam,2023-06-06,202
471,Amsterdam,2023-06-07,314
472,Groningen,2023-06-07,85
473,Rotterdam,2023-06-07,208
474,Amsterdam,2023-06-08,291
475,Groningen,2023-06-08,94
476,Rotterdam,2023-06-08,220
477,Amsterdam,2023-06-09,304
